id,victim,industry,industry_group,industry__Agriculture,industry__Energy,industry__Manufacturing,industry__Mining,industry__Transportation,industry__Water,threat_actor,threat_actor_encoded,sites,ot_or_physical_consecuences,incident_summary,references,day,month,year,Africa,Asia,Australia,Europe,North America,South America
290,SEA-Tank & SEA-Invest Group,Transportation,Transportation,0,0,0,0,1,0,Ransomware,2,24,Halted operations at all European and African ports,Every SEA-Tank or SEA-Invest port terminal in Europe and Africa could not unload fuel due to a reported BlackCat (ALPHV) ransomware attack,"isssource.com, icsstrive.com",30.0,1.0,2022.0,0,0,0,1,0,0
293,Evos Group,Transportation,Transportation,0,0,0,0,1,0,Unknown,3,3,"Delayed unloading fuel at 3 ports: Terneuzen, Ghent, and Birzebbuga",Cyber attack delayed loading and unloading of fuel and bulk oil at port for the storage logistics company. The Malta operation was just recently acquired from Oiltanking,"insurancejournal.com, icsstrive.com",2.0,2.0,2022.0,0,0,0,1,0,0
298,Swissport,Transportation,Transportation,0,0,0,0,1,0,Ransomware,2,1,"Delayed 22 flights, cargo, and freight services for 20 min",BlackCat (ALPHV) ransomware attack forced Swissport to revert to manual ops and backup procedures,"icsstrive.com, spiegel.de/netzwelt/web/swissport-hackerangriff-stoert-zeitweise-flugbetrieb-in-der-schweiz-a-44285ac8-ad73-42ea-b751-91559c2ff4c8",3.0,2.0,2022.0,0,0,0,1,0,0
305,Jawaharlal Nehru Port Container Terminal (JNPCT),Transportation,Transportation,0,0,0,0,1,0,Ransomware,2,1,Diverted incoming vessels and halted in-progress loading/unloading at port,"Management Information System (MIS) knocked out by ransomware at JNPCT, one of five marine facilities at the Nhava Sheva container gateway","theloadstar.com, icsstrive.com",21.0,2.0,2022.0,0,1,0,0,0,0
309,Expeditors,Transportation,Transportation,0,0,0,0,1,0,Ransomware,2,1,Shutdown operations for 3+ weeks,"Cannot ship freight or manage customs processing, thereby halting ops. The financial cost to restore systems and in lost business was significant","bleepingcomputer.com, icsstrive.com",22.0,2.0,2022.0,0,0,0,0,1,0
314,Caledonian Modular,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,1,Shutdown manufacturing ops.,Modular building manufacturer's lost production output due to the attack was a major factor in the company's March insolvency,"theconstructionindex.co, icsstrive.com",24.0,2.0,2022.0,0,0,0,1,0,0
319,Bridgestone,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,23,"10 days lost production, and workers sent home, at all 23 tire plants in the Americas","Lockbit ransomware prompted the shut down all plants in the western hemisphere, in an abundance of caution, and begin recovery",icsstrive.com,27.0,2.0,2022.0,0,0,0,0,1,1
323,Belarus Railway,Transportation,Transportation,0,0,0,0,1,0,Hacktivist,0,1,"Halted trains in Minsk, Orsha, and Osipovichi","The Belarusian ""Cyber Partisans"" encrypt and disable routing and switching devices, stranding trains at station, to slow Russian troops transiting to the Ukrainian front",bqprime.com,28.0,2.0,2022.0,0,0,0,1,0,0
327,"Kojima Industries, Toyota, Hino, & Daihatsu",Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,14,"Shutdown all Japanese auto and truck plants for 1 day, and lost production of 10K units","When 3rd party supplier Kojima was hit by ransomware, Toyota chose to shut down all their Japanese plants in an abundance of caution",isssource.com,28.0,2.0,2022.0,0,1,0,0,0,0
330,Rosetti Energy,Power,Energy,0,1,0,0,0,0,Hacktivist,0,2,Deactivated all EV charging stations between Moscow and St. Petersberg,"Hacktivists remotely disable all electric vehicle charging stations along the M-11 motorway, and reprogram displays criticizing President Putin",icsstrive.com,28.0,2.0,2022.0,0,1,0,0,0,0
335,H.P. Hood Dairy LLC,Food & Beverage,Agriculture,1,0,0,0,0,0,Unknown,3,13,"Shutdown production 1 week, disposed all dairy product, canceled orders & deliveries","Cyber attack prompted taking Hood's 13 plants offline in an abundance of caution, and could not receive materials to manufacture dairy products","boston.com, icsstrive.com",11.0,3.0,2022.0,0,0,0,0,1,0
340,ELTA (Hellenic Post),Transportation,Transportation,0,0,0,0,1,0,Ransomware,2,1,"Disrupted postal services for 17 days, nationally","Unpatched vulnerability led to reverse shell & ransomware deployment, disrupting all mail, financial, and bill payment services processed through the Greek Post","therecord.media/greeces-national-postal-service-restoring-systems-after-ransomware-attack, icsstrive.com",20.0,3.0,2022.0,0,0,0,1,0,0
345,TAVR Corporate Group,Food & Beverage,Agriculture,1,0,0,0,0,0,Ransomware,2,1,"Shutdown production and recorded a ""significant economic loss""","TAVR makes 50K tons of meat and sausage in Rostov-on-don, close to the Ukraine border. A rep assessed the event as “meticulously planned and significant sabotage”",icsstrive.com,24.0,3.0,2022.0,0,1,0,0,0,0
350,Bulgarian State Post Office,Transportation,Transportation,0,0,0,0,1,0,Ransomware,2,1,"2+ week outage of 26 national postal services, including deliveries","Russian-originated ransomware attack to the Bulgarian Post, where attackers moved laterally into all IT and OT systems affecting all 26 offered services","euractiv.com, icsstrive.com",16.0,4.0,2022.0,0,0,0,1,0,0
354,Costa Rican Customs Service,Transportation,Transportation,0,0,0,0,1,0,Ransomware,2,1,"Slowed shipments for > 1 month, and shutdown Customs' systems","Small part of a massive Conti and Hive ransomware attack on Costa Rica's government, and container freight shipments to slow to a trickle at the port of Limón","fas.usda.gov, icsstrive.com",17.0,4.0,2022.0,0,0,0,0,1,0
359,Sunwing Airlines,Transportation,Transportation,0,0,0,0,1,0,Unknown,3,1,"Shutdown check-in systems, delay or cancel 188 flights","Discount holiday carrier's passengers stranded during the busy Easter long weekend, where “a system that is running all the time, which never fails, was hacked""","infosecurity-magazine.com, icsstrive.com",18.0,4.0,2022.0,0,0,0,0,1,0
363,AGCO,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,1,"Shutdown majority of production in for 15+ days, and sent workers home","Attack on major tractor and equipment manufacturer occurs at the start of planting season, during peak global demand for new equipment and parts from dealers","theregister.com, icsstrive.com",5.0,5.0,2022.0,0,0,0,1,1,0
367,SpiceJet,Transportation,Transportation,0,0,0,0,1,0,Ransomware,2,1,Grounded or delayed planes for 5+ hours,"""Attempted ransomware"" attack on SpiceJet caused major delays for air travellers, causing a cascading effect on future flight schedules",icsstrive.com,25.0,5.0,2022.0,0,1,0,0,0,0
372,Foxconn Baja California,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,1,"Disrupted production for 2 weeks, & forced production capacity adjustment","Lockbit gang ransomed the plant in Tijuana, which supplies most of California's brand-labeled consumer electronics. 2nd time in 2 years this plant was hit by ransomware","therecord.media/foxconn-mexico-factory-operations-gradually-returning-to-normal-after-ransomware-attack, isssource.com",31.0,5.0,2022.0,0,0,0,0,1,0
377,CMC Electronics,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,1,Disrupted and delayed ops.,"BlackCat (ALPHV) ransomware encrypted systems and ""disrupted operations"" to a key supplier of avionics of Canada's Department of National Defense","itworldcanada.com, icsstrive.com",31.0,5.0,2022.0,0,0,0,0,1,0
382,Yodel,Transportation,Transportation,0,0,0,0,1,0,Unknown,3,1,Delayed parcel delivery for millions of customers,"Suspected but unconfirmed ransomware attack shuts down critical operations, including delivery tracking, for millions awaiting home delivery of goods and services","bleepingcomputer.com, icsstrive.com",22.0,6.0,2022.0,0,0,0,1,0,0
387,Apetito (parent of Wiltshire Food Farms),Food & Beverage,Agriculture,1,0,0,0,0,0,Ransomware,2,1,"5-day halt to food deliveries, and rebuilt systems","Hive ransomware hits Meals-on-wheels serving institutions and the vulnerable. Apetito reverted to manual procedures, and a complete system rebuild to restore ops",icsstrive.com,25.0,6.0,2022.0,0,0,0,1,0,0
392,Macmillan Publishers,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,2,Halted orders & shipments; backlogged regional warehouses for months,"Ransomware attack on a major publisher closed offices in NYC and London, disrupting order processing, and causing months of delivery backlogs at regional warehouses",icsstrive.com,25.0,6.0,2022.0,0,0,0,1,1,0
396,"Khuzestan Steel (KSC), Mobarakeh Steel (MSC), & Hormozgan Steel (HOSCO)",Metals & Mining,Mining,0,0,0,1,0,0,Hacktivist,0,1,Damaged equipment and halted production at the KSC plant.,Predatory Sparrow group claimed responsibility set the KSC plant on fire and posted CCTV of the incident on twitter. Any potential damages to MSC and HOSCO remain unconfirmed,"timesofisrael.com, icsstrive.com",27.0,6.0,2022.0,0,1,0,0,0,0
400,Knauf,Process Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,2,Shutdown production for 3+ weeks; Delayed existing and canceled all new orders,"After a BlackBasta ransomware attack, Knauf pre- emptively shut down to facilitate recovery and forensics, and operated both plants manually","techmonitor.ai/technology/cybersecurity/knauf-cyberattack-blackbasta-ransomware, icsstrive.com",29.0,6.0,2022.0,0,0,0,1,0,0
404,Eglo,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,1,"Shutdown production, order processing and shipping for 12 days","Lighting manufacturer's CEO confirmed the ransomware attack, but noted that no ransom note had been received by the time they begun recovery","diepresse.com, icsstrive.com",18.0,7.0,2022.0,0,0,0,1,0,0
409,Semikron-Danfoss,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,8,Shutdown production for months,"A power-electronics semiconductor maker for ICS, EVs and wind turbines suffered a LV ransomware attack, and was not fully restored months after the incident","bleepingcomputer.com, icsstrive.com",29.0,7.0,2022.0,0,0,0,1,0,0
414,Ontario Cannabis Retail Corporation (OCS),Transportation,Transportation,0,0,0,0,1,0,Unknown,3,1,Halted delivery & distribution province-wide for 5 days,"Through the OCS crown corporation, the provincial government of Ontario controls and regulates the supply of cannabis to all retail stores","cbc.ca/news/canada/toronto/ontario-cannabis-store-1.6549657, icsstrive.com",5.0,8.0,2022.0,0,0,0,0,1,0
420,Bombardier Recreational Products (BRP),Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,4,Shutdown production and halted order fulfillment for 1 week,RansomExx gang published all files (30 GB) exfiltrated from BRP after they refused to pay the ransom. The malware infection was traced to a service provider.,"bleepingcomputer.com, icsstrive.com",8.0,8.0,2022.0,0,0,0,1,1,0
425,Apex Capital / TCS Fuel,Transportation,Transportation,0,0,0,0,1,0,Ransomware,2,1,Shutdown ops. for 1 week,"BlackByte ransomware on TCS Fuel impacted small- business truckers, who were unable to fuel their trucks or access funds to pay their owner-operators",icsstrive.com,13.0,8.0,2022.0,0,0,0,0,1,0
430,Novosibirsk City Transport Traffic Management System,Transportation,Transportation,0,0,0,0,1,0,Hacktivist,0,1,Shutdown and disrupted public transportation for 2+ days,"Pro-Ukrainian activists Team OneFist causes traffic chaos, by halting and damaging the public transit scheduling system and signage, so as to prevent quick recovery","ibtimes.com, icsstrive.com",2.0,9.0,2022.0,0,1,0,0,0,0
436,Yandex Taxi,Transportation,Transportation,0,0,0,0,1,0,Hacktivist,0,1,Disrupted Moscow traffic for 3+ hours,"Hacktivists caused traffic chaos, in an attack that simultaneously dispatched all Yandex's Taxi cars to the same location, resulting in a massive traffic jam","icsstrive.com, theverge.com",3.0,9.0,2022.0,0,1,0,0,0,0
441,Läderach,Food & Beverage,Agriculture,1,0,0,0,0,0,Ransomware,2,1,"Halted production, logistics and administration for 67 days","A ransomware attack on the chocolate maker causes a long-term outage, and impacts logistics. After Läderach refuses to pay the ransom, all data is leaked",icsstrive.com,5.0,9.0,2022.0,0,0,0,1,0,0
445,Electricity Company of Ghana (ECG),Power,Energy,0,1,0,0,0,0,Ransomware,2,1,5+ days of power outages for pre- paid customers,"A ransomware attack disables ECG's billing system and the IT network, leaving commercial and residential customers in the dark and unable to purchase power",icsstrive.com,26.0,9.0,2022.0,1,0,0,0,0,0
450,HiPP,Food & Beverage,Agriculture,1,0,0,0,0,0,Unknown,3,1,"Production shutdown for days, and 1000 employees sent home","Pfaffenhofen, Bavaria based baby food manufacturer, which sells worldwide, was hit by an attack which shutdown both IT and OT systems","csoonline.com, 3674208, icsstrive.com",5.0,10.0,2022.0,0,0,0,1,0,0
455,Heilbronner Stimme & Stimme Mediengruppe,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,1,Shutdown operations and sent employees home; impacted regional partners,"Printing presses halted after a ransomware attack, stopping distribution of the Heilbronner Stimme and other regional publications printed under contract","bleepingcomputer.com, icsstrive.com",14.0,10.0,2022.0,0,0,0,1,0,0
460,Aurubis AG,Metals & Mining,Mining,0,0,0,1,0,0,Unknown,3,1,"Production and delivery halted, and employees sent home, in Buffalo, NY","Europe's largest copper smelter admitted to isolating from the internet, and operating manually, but local news in Buffalo reported their copper wire plant was shutdown","hackread.com, icsstrive.com",28.0,10.0,2022.0,0,0,0,1,1,0
465,Danish Rails (DSB) / Supeo,Transportation,Transportation,0,0,0,0,1,0,Ransomware,2,1,Shutdown train service for several hours,"Denmark's largest rail operator halted due to cyber attack on 3rd party Supeo who were unable to offer their critical, real-time safety data to train drivers",isssource.com,29.0,10.0,2022.0,0,0,0,1,0,0
468,Cartonnerie Gondardennes,Process Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,1,"Shutdown production for 3 days, and workers sent home",This cardboard maker avoided paying a ransom as systems were decrypted by a local journalist and cyber expert Damien Bancal,"lavoixdunord.fr/1250765/article/2022-11-07/le-piratage-cartonnerie-gondardennes-decrypte-par-damien-bancal-journaliste, icsstrive.com",31.0,10.0,2022.0,0,0,0,1,0,0
474,"Jeppesen, a Boeing subsidiary",Transportation,Transportation,0,0,0,0,1,0,Ransomware,2,1,Delayed flights at multiple airlines & impacted flight planning for 14 days,"Ransomware shutdown 6 Electronic Flight Bag (EFB) apps & services provided by Jeppesen, increasing pilot's workloads in flight planning and navigation","icsstrive.com, ops.group/blog/jeppesen-ransomware-attack-update",2.0,11.0,2022.0,1,1,1,1,1,1
479,Uponor Oyj,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,1,"Shutdown production for 1 week, then reduced capacity for 2+ weeks","The manufacturer of HVAC, plumbing, and infrastructure products shutdown all OT systems as a precaution, and restoration took weeks",icsstrive.com,5.0,11.0,2022.0,0,0,0,1,0,0
484,PGT Innovations,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,2,"Impacted production at 2 plants, and contributed to a $12m loss","A ransomware attack impacted 2 window and door manufacturing plants in Florida, and contributed to $12m quarterly revenue loss",icsstrive.com,5.0,11.0,2022.0,0,0,0,0,1,0
489,Maple Leaf Foods,Food & Beverage,Agriculture,1,0,0,0,0,0,Ransomware,2,1,Disrupted operations and services at multiple sites,"BlackBasta lists Maple Leaf as one of its victims on the dark web, but Maple Leaf releases little else about the attack other than the impact to ops","just-food.com, icsstrive.com",6.0,11.0,2022.0,0,0,0,0,1,0
493,Taxis Coop Québec,Transportation,Transportation,0,0,0,0,1,0,Ransomware,2,1,Shutdown taxi dispatch system for 2.5 hours in the early morning,"Ransomware breached Taxi Coop Quebec's ride hailing back-end systems, so staff pre-emptively shut down all servers and began recovery","ici.radio-canada.ca/nouvelle/1933690/taxi-coop-quebec-cyberattaque-informatique, icsstrive.com",17.0,11.0,2022.0,0,0,0,0,1,0
498,Europea Microfusioni Aerospaziali (EMA),Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,1,"Shutdown production line for 6+ days, and sent employees home","EMA, a precision investment casting leader, was hit by ransomware production lines were shutdown. 40 techs and specialists were sent in to assist",icsstrive.com,17.0,11.0,2022.0,0,0,0,1,0,0
504,Communauto,Transportation,Transportation,0,0,0,0,1,0,Unknown,3,1,Shutdown ride-sharing operations & services for 1 day,"A cyber attack prevented users from starting or ending a ride, during an existing industry shortage of vehicles, frustrating users struggling to reserve a car",icsstrive.com,21.0,11.0,2022.0,0,0,0,0,1,0
510,"Prophete / VSF Fahrradmanufaktur, Rabeneick and Kreidler",Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,1,Shutdown operations for 3+ weeks and lead to insolvency,"Ransomware attack meant that parts did not arrive, and bicycles were not fully assembled and delivered. Additional shareholder injections could not be secured triggering bankruptcy",icsstrive.com,25.0,11.0,2022.0,0,0,0,1,0,0
515,Cobolux,Food & Beverage,Agriculture,1,0,0,0,0,0,Ransomware,2,1,1 day production loss; Estimated €400K - €500K in damages and restoration costs,"Ransomware attack made it impossible to continue operating, because meat products could not be labeled, a regulated and food safety requirement",icsstrive.com,25.0,11.0,2022.0,0,0,0,1,0,0
519,UNOX,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Unknown,3,1,Shutdown production for 2 days,"Hit by a cyber attack, the company activated emergency procedures, suspended production as a safety measure, and initiated ""appropriate checks""",icsstrive.com,10.0,12.0,2022.0,0,0,0,1,0,0
523,Fruttagel,Food & Beverage,Agriculture,1,0,0,0,0,0,Ransomware,2,1,Shutdown production for 4+ days,A BlackCat (ALPHV) ransomware attack on Fruttagel halted production and prevented customer deliveries. Ransom goes unpaid so Blackcat leaked all 720GB of exfiltrated data,icsstrive.com,11.0,12.0,2022.0,0,0,0,1,0,0
527,Empresas Públicas de Medellín (EPM),Water,Water,0,0,0,0,0,1,Ransomware,2,1,Trucked in water for 28k customers on pre-paid service plans,"A BlackCat (ALPHV) ransomware attack shut off water for 28K customers unable to pre-pay for service, due to an OT dependence on IT and billing systems",isssource.com,13.0,12.0,2022.0,0,0,0,0,0,1
531,"Technolit GmbH, in Grossenlüder",Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Unknown,3,1,Shutdown operations and sent employees home,A German manufacturer and distributor of welding supplies and products was shutdown by an unknown cyber attack,icsstrive.com,22.0,12.0,2022.0,0,0,0,1,0,0
535,Copper Mountain Mining Corporation (CMCC),Metals & Mining,Mining,0,0,0,1,0,0,Ransomware,2,1,"Shutdown operations for 5 days (pre-emptive), then reduced production for 4 days","CMCC shutdown mining ops out of an abundance of caution, after an attack possibly enabled by passwords leaked on the dark web weeks earlier",isssource.com,27.0,12.0,2022.0,0,0,0,0,1,0
538,Beneteau SA,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,2,Shutdown for 3-4 weeks at several plants,"Boat manufacturer hit by ransomware, impacting OT. Production shutdown or delayed at ""several sites"". Wiped out 2021 growth, according to CEO.",boatindustry.com,18.0,2.0,2021.0,0,0,0,1,0,0
